month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
1,70.14977699566236,14.014112903225806,0,0.0,0.0,0.0,,SD,80C,80.0
2,73.84643539687333,15.011589895988111,0,0.0,0.0,0.0,,SD,80C,80.0
3,70.02076749232016,15.40942126514132,0,0.0,0.0,0.0,,SD,80C,80.0
4,67.67983807062264,17.15,9,66895.66078829064,21483.889952993737,5.0,2.733935779993894,SD,80C,80.0
5,73.0324366865542,17.204704301075267,40,272508.6418734159,87126.21049759303,20.0,2.739097162563332,SD,80C,80.0
6,72.81899049333755,19.48111111111111,131,729595.084313499,229619.76328990978,65.0,2.770751069449599,SD,80C,80.0
7,78.1509188075694,20.543413978494623,307,2155609.2912350246,668901.0785488462,154.0,2.8159960884290163,SD,80C,80.0
8,73.78351115796069,22.13279569892473,351,2440225.82886191,748018.3122340131,175.0,2.8615029592194423,SD,80C,80.0
9,74.6411491358724,21.619722222222222,348,2382824.6098627253,733158.4867895392,174.0,2.8480551963680947,SD,80C,80.0
10,71.94658722227885,18.60967741935484,94,582069.630702388,183050.63111262245,47.0,2.7812205748444345,SD,80C,80.0
11,59.14621242349399,16.960833333333333,15,93286.66138865157,29734.644451982338,8.0,2.7499559615314353,SD,80C,80.0
12,54.25015476426494,14.213844086021506,1,0.0,0.0,0.0,,SD,80C,80.0
