datetime,Tdb_C,Twb_C,RH_frac,RH_percent,cond_flow,cond_Tin,waste_heat_kWh
2024-01-01 01:00:00,-8.3,-9.370331073136311,0.7091099344260939,70.9109934426094,0.0,3.0,0.0
2024-01-01 02:00:00,-7.8,-8.904703290028907,0.7084004358618929,70.8400435861893,0.0,3.0,0.0
2024-01-01 03:00:00,-7.2,-8.347541611494922,0.7073838693427552,70.73838693427552,0.0,3.0,0.0
2024-01-01 04:00:00,-6.7,-7.884059815959931,0.7065354137410521,70.65354137410522,0.0,3.0,0.0
2024-01-01 05:00:00,-6.1,-7.328526404939819,0.7055956908350174,70.55956908350174,0.0,3.0,0.0
2024-01-01 06:00:00,-6.1,-7.328526404939819,0.7055956908350174,70.55956908350174,0.0,3.0,0.0
2024-01-01 07:00:00,-5.6,-7.000883509945219,0.6739567538938177,67.39567538938176,0.0,3.0,0.0
2024-01-01 08:00:00,-5.0,-6.591163943661424,0.6422173007751383,64.22173007751383,0.0,3.0,0.0
2024-01-01 09:00:00,-4.4,-6.04830532902826,0.6412122840059913,64.12122840059912,0.0,3.0,0.0
2024-01-01 10:00:00,-3.3,-5.20825068326802,0.6088781539857557,60.887815398575576,0.0,3.0,0.0
2024-01-01 11:00:00,-2.2,-4.227744243988668,0.607378010412631,60.7378010412631,0.0,3.0,0.0
2024-01-01 12:00:00,-1.7,-3.728396703012818,0.6168214888647362,61.68214888647362,0.0,3.0,0.0
2024-01-01 13:00:00,-0.6,-2.5699638049561893,0.6468162596963166,64.68162596963167,0.0,3.0,0.0
2024-01-01 14:00:00,0.0,-1.8464455943418625,0.6776475772520545,67.76475772520544,0.0,3.0,0.0
2024-01-01 15:00:00,0.6,-0.8872978393591828,0.7462168320033751,74.62168320033751,0.0,3.0,0.0
2024-01-01 16:00:00,0.6,-0.2123535348279557,0.860102983441442,86.0102983441442,0.0,3.0,0.0
2024-01-01 17:00:00,0.6,-0.2123535348279557,0.860102983441442,86.0102983441442,0.0,3.0,0.0
2024-01-01 18:00:00,0.6,-0.2119118756756256,0.8601781939927803,86.01781939927803,0.0,3.0,0.0
2024-01-01 19:00:00,0.6,-0.2119118756756256,0.8601781939927803,86.01781939927803,0.0,3.0,0.0
2024-01-01 20:00:00,0.0,-0.7596800913908182,0.8654318750052724,86.54318750052724,0.0,3.0,0.0
2024-01-01 21:00:00,-1.1,-1.5965120765702354,0.9070660465798539,90.7066046579854,0.0,3.0,0.0
2024-01-01 22:00:00,-1.7,-1.9130709753977315,0.9588011977331841,95.88011977331841,0.0,3.0,0.0
2024-01-01 23:00:00,-2.2,-2.4598927556499914,0.9485413696291127,94.85413696291127,0.0,3.0,0.0
2024-01-02 00:00:00,-3.9,-4.089956911994159,0.9590025779283149,95.9002577928315,0.0,3.0,0.0
2024-01-02 01:00:00,-4.4,-4.631352344256762,0.948786065761072,94.8786065761072,0.0,3.0,0.0
2024-01-02 02:00:00,-4.4,-4.4,1.0,100.0,0.0,3.0,0.0
2024-01-02 03:00:00,-5.6,-5.772904055311529,0.9591866096108407,95.91866096108407,0.0,3.0,0.0
2024-01-02 04:00:00,-6.1,-6.310110472638766,0.9490654334297522,94.90654334297523,0.0,3.0,0.0
2024-01-02 05:00:00,-5.0,-5.404084439438913,0.9078742990222982,90.78742990222982,0.0,3.0,0.0
2024-01-02 06:00:00,-3.9,-4.32949773648159,0.9075754067090563,90.75754067090564,0.0,3.0,0.0
2024-01-02 07:00:00,-3.9,-4.090309569833699,0.9589266436025762,95.89266436025761,0.0,3.0,0.0
2024-01-02 08:00:00,-3.3,-3.545845592094538,0.9485736689143441,94.85736689143441,0.0,3.0,0.0
2024-01-02 09:00:00,-2.2,-2.670512217089404,0.907090900056714,90.7090900056714,0.0,3.0,0.0
2024-01-02 10:00:00,-1.7,-2.18266015104898,0.9070019933889344,90.70019933889344,0.0,3.0,0.0
2024-01-02 11:00:00,-1.1,-1.597646740264933,0.9068550652598862,90.68550652598863,0.0,3.0,0.0
2024-01-02 12:00:00,0.0,-0.7622128840757427,0.8649878523758516,86.49878523758517,0.0,3.0,0.0
2024-01-02 13:00:00,1.7,0.5080012449682497,0.8056103946325842,80.56103946325842,0.0,3.0,0.0
2024-01-02 14:00:00,1.7,0.6983024779547513,0.8362074364376334,83.62074364376333,0.0,3.0,0.0
2024-01-02 15:00:00,1.7,0.6983024779547513,0.8362074364376334,83.62074364376333,0.0,3.0,0.0
2024-01-02 16:00:00,1.7,0.6983024779547513,0.8362074364376334,83.62074364376333,0.0,3.0,0.0
2024-01-02 17:00:00,1.7,0.6983024779547513,0.8362074364376334,83.62074364376333,0.0,3.0,0.0
2024-01-02 18:00:00,2.2,0.9813907066446844,0.8056453073444051,80.56453073444051,0.0,3.0,0.0
2024-01-02 19:00:00,1.7,0.7000857251099424,0.8364949224279127,83.64949224279127,0.0,3.0,0.0
2024-01-02 20:00:00,1.7,0.7000857251099424,0.8364949224279127,83.64949224279127,0.0,3.0,0.0
2024-01-02 21:00:00,-1.7,-2.783805806208761,0.7927905967022955,79.27905967022954,0.0,3.0,0.0
2024-01-02 22:00:00,-2.2,-3.52499051088876,0.7411882648902749,74.11882648902748,0.0,3.0,0.0
