month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
1,63.90769835305238,3.9599462365591394,0,0.0,0.0,0.0,,ATL,60C,60.0
2,56.67180179888624,7.944130757800891,0,0.0,0.0,0.0,,ATL,60C,60.0
3,54.96386683431447,13.76406460296097,9,76758.52004977557,16845.253275198927,3.0,3.996162771229308,ATL,60C,60.0
4,61.47848629467588,17.209444444444443,45,317319.85600368376,67697.97973500681,15.0,4.115636815178447,ATL,60C,60.0
5,66.88530562590236,20.833467741935486,124,1130209.12200941,233594.76712539472,42.0,4.206999417717014,ATL,60C,60.0
6,62.744809115561594,24.795555555555556,332,3934061.4158829306,727955.6280626839,110.0,4.618674395165324,ATL,60C,60.0
7,71.18767023131251,26.061021505376345,469,6347827.920892977,1126804.821803529,157.0,4.811144451272025,ATL,60C,60.0
8,72.50171207625775,26.55013440860215,540,6846360.953295529,1199730.7262547382,180.0,4.883144333017151,ATL,60C,60.0
9,71.81672274925671,22.529166666666665,317,2964689.9401943376,560841.1999551071,105.0,4.5238756224564804,ATL,60C,60.0
10,74.06794076009152,16.031182795698925,81,619084.7920516145,124552.88554022966,27.0,4.363731571119909,ATL,60C,60.0
11,62.67295689474394,11.945833333333333,26,175811.5826945363,37816.645215812205,9.0,4.072398512367062,ATL,60C,60.0
12,63.37706588866944,7.694220430107527,3,0.0,0.0,0.0,,ATL,60C,60.0
