month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
1,70.56521275852604,19.42513440860215,174,1426128.4611016023,425587.23844391207,87,2.9357338787492453,MI,80C,80.0
2,66.5515198552886,20.862109955423477,148,1095411.5239781523,319330.40576496924,74,2.950142859776288,MI,80C,80.0
3,68.1338356849262,21.568236877523553,192,1564046.223890976,455668.0860500864,96,2.9946146069507247,MI,80C,80.0
4,67.07553088925727,24.112083333333334,217,2238047.7305373005,634265.0205245062,109,3.0266671271482743,MI,80C,80.0
5,71.73906804910918,26.409005376344084,461,6775624.902650096,1844817.4404926493,230,3.1570848189576712,MI,80C,80.0
6,74.74276811180368,27.683194444444446,571,11124661.982285948,2934342.909173675,286,3.2889840564292165,MI,80C,80.0
7,73.61359658525963,28.125672043010752,619,12955169.203911602,3400393.4909203458,309,3.316414029779878,MI,80C,80.0
8,75.15947717419874,27.975,615,12935209.618298765,3393662.165129589,308,3.3190202785942144,MI,80C,80.0
9,75.22145422359935,27.49263888888889,546,10027770.879645856,2650350.3425846146,273,3.271258187754694,MI,80C,80.0
10,73.82988974137072,26.351478494623656,473,7061518.324250642,1897707.7137240225,236,3.1969940379663533,MI,80C,80.0
11,74.20197977927236,23.585694444444446,337,4207262.567802513,1154370.2021863796,169,3.112752748073696,MI,80C,80.0
12,76.27373492255583,20.29717741935484,232,1623274.3638528364,470941.969348358,115,2.991790755718074,MI,80C,80.0
