month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
1,45.115531554636405,0.7705645161290323,0,0.0,0.0,0.0,,DEN,60C,60.0
2,53.174333910777605,-0.0637444279346211,0,0.0,0.0,0.0,,DEN,60C,60.0
3,38.98967200426838,6.125437415881561,0,0.0,0.0,0.0,,DEN,60C,60.0
4,60.68721591983632,5.830972222222223,0,0.0,0.0,0.0,,DEN,60C,60.0
5,52.02127444369556,15.471908602150538,2,57805.7912119858,13175.114603787233,1.0,3.8561599235632475,DEN,60C,60.0
6,41.72182241632325,23.085555555555555,88,210473.4731895775,45547.13330710852,29.0,3.9881473891711026,DEN,60C,60.0
7,49.93886595015964,22.268010752688173,83,331833.4084339638,70127.39999655417,28.0,4.118785157008715,DEN,60C,60.0
8,44.44281253233816,22.620026881720428,71,431222.63899078575,90357.36146667096,24.0,4.159288581966625,DEN,60C,60.0
9,40.38911460529516,19.158194444444444,22,0.0,0.0,6.0,3.965335944785158,DEN,60C,60.0
10,60.52047415042887,10.070833333333333,0,0.0,0.0,0.0,,DEN,60C,60.0
11,50.97649204347899,2.8926388888888885,0,0.0,0.0,0.0,,DEN,60C,60.0
12,47.43772064715284,1.464247311827957,0,0.0,0.0,0.0,,DEN,60C,60.0
